,NRO,AGRUPACION POLITICA,SENADOR NACIONAL,DIPUTADO NACIONAL,SENADOR PROVINCIAL,CARGOS MUNICIPALES,mesa,eleciones,circuito
77,,L.PRIMERA DAMA DEL PUEBLO,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
78,,L.LABORISTA,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
79,,L.POPULAR,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
80,,L.RENOVACION FEDERAL,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
81,,L.TRES BANDERAS,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
82,,TOTAL FRENTE UNION FEDERAL,,,0.0,,3,ELECCIONES PASO 13/08/2017,638
83,738,MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,,3,ELECCIONES PASO 13/08/2017,638
84,,LISTA VECINOS POR MERCEDES,,,,3.0,3,ELECCIONES PASO 13/08/2017,638
85,,TOTAL MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,3.0,3,ELECCIONES PASO 13/08/2017,638
86,829,"AGRUP. 25 DE MAYO ""MERCEDES""",,,,,3,ELECCIONES PASO 13/08/2017,638
87,,LISTA 25 DE MAYO,,,,2.0,3,ELECCIONES PASO 13/08/2017,638
88,,"TOTAL AGRUP. 25 DE MAYO ""MERCEDES""",,,,2.0,3,ELECCIONES PASO 13/08/2017,638
89,,VOTOS NULOS,0.0,0.0,0.0,0.0,3,ELECCIONES PASO 13/08/2017,638
90,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,3,ELECCIONES PASO 13/08/2017,638
91,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,3,ELECCIONES PASO 13/08/2017,638
92,,VOTOS EN BLANCO,1.0,3.0,7.0,10.0,3,ELECCIONES PASO 13/08/2017,638
93,,TOTALES,272.0,272.0,272.0,272.0,3,ELECCIONES PASO 13/08/2017,638
0,8,PARTIDO FEDERAL,,,,,4,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,0.0,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,0.0,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,4,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,4,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,4,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,4,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,1.0,1.0,1.0,,4,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,1.0,1.0,1.0,,4,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,4,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,4,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,4,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,0.0,0.0,,,4,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,4,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,30.0,29.0,29.0,32.0,4,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,30.0,29.0,29.0,32.0,4,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,4,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,4,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,1.0,,4,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,1.0,,4,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,4,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,71.0,68.0,,,4,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,68.0,69.0,4,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,71.0,68.0,68.0,69.0,4,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,4,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,3.0,3.0,3.0,,4,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,3.0,3.0,3.0,,4,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,4,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,4,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,1.0,1.0,,,4,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,4,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,0.0,,,4,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,4,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,0.0,0.0,,4,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,4,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,2.0,2.0,,,4,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,2.0,2.0,,,4,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,4,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,2.0,1.0,4,ELECCIONES PASO 13/08/2017,638
60,,TOTAL PARTIDO RENOVADOR FEDERAL,,,2.0,1.0,4,ELECCIONES PASO 13/08/2017,638
61,508,CAMBIEMOS BUENOS AIRES,,,,,4,ELECCIONES PASO 13/08/2017,638
62,,LISTA CAMBIANDO JUNTOS,126.0,127.0,,,4,ELECCIONES PASO 13/08/2017,638
63,,LISTA 1A AMARILLO,,,126.0,123.0,4,ELECCIONES PASO 13/08/2017,638
64,,TOTAL CAMBIEMOS BUENOS AIRES,126.0,127.0,126.0,123.0,4,ELECCIONES PASO 13/08/2017,638
65,509,FRENTE JUSTICIALISTA,,,,,4,ELECCIONES PASO 13/08/2017,638
66,,LISTA CUMPLIR,14.0,13.0,,,4,ELECCIONES PASO 13/08/2017,638
67,,LISTA CUMPLIR 2,,,13.0,7.0,4,ELECCIONES PASO 13/08/2017,638
68,,LISTA CUMPLIR 4,,,,5.0,4,ELECCIONES PASO 13/08/2017,638
69,,TOTAL FRENTE JUSTICIALISTA,14.0,13.0,13.0,12.0,4,ELECCIONES PASO 13/08/2017,638
70,510,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,,,,,4,ELECCIONES PASO 13/08/2017,638
71,,LISTA 1,17.0,19.0,18.0,18.0,4,ELECCIONES PASO 13/08/2017,638
72,,TOTAL FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,17.0,19.0,18.0,18.0,4,ELECCIONES PASO 13/08/2017,638
73,1902,FRENTE UNION FEDERAL,,,,,4,ELECCIONES PASO 13/08/2017,638
74,,L.AUTOCTONO,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
75,,L.DIGNIDAD POPULAR,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
76,,L.FRENTE UNION FEDERAL,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
77,,L.PRIMERA DAMA DEL PUEBLO,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
78,,L.LABORISTA,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
79,,L.POPULAR,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
80,,L.RENOVACION FEDERAL,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
81,,L.TRES BANDERAS,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
82,,TOTAL FRENTE UNION FEDERAL,,,0.0,,4,ELECCIONES PASO 13/08/2017,638
83,738,MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,,4,ELECCIONES PASO 13/08/2017,638
84,,LISTA VECINOS POR MERCEDES,,,,4.0,4,ELECCIONES PASO 13/08/2017,638
85,,TOTAL MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,4.0,4,ELECCIONES PASO 13/08/2017,638
86,829,"AGRUP. 25 DE MAYO ""MERCEDES""",,,,,4,ELECCIONES PASO 13/08/2017,638
87,,LISTA 25 DE MAYO,,,,4.0,4,ELECCIONES PASO 13/08/2017,638
88,,"TOTAL AGRUP. 25 DE MAYO ""MERCEDES""",,,,4.0,4,ELECCIONES PASO 13/08/2017,638
89,,VOTOS NULOS,1.0,0.0,0.0,2.0,4,ELECCIONES PASO 13/08/2017,638
90,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,4,ELECCIONES PASO 13/08/2017,638
91,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,4,ELECCIONES PASO 13/08/2017,638
92,,VOTOS EN BLANCO,9.0,12.0,16.0,12.0,4,ELECCIONES PASO 13/08/2017,638
93,,TOTALES,277.0,277.0,277.0,277.0,4,ELECCIONES PASO 13/08/2017,638
0,8,PARTIDO FEDERAL,,,,,5,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,1.0,1.0,1.0,,5,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,1.0,1.0,1.0,,5,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,5,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,5,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,5,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,5,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,0.0,0.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,0.0,0.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,5,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,5,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,5,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,1.0,2.0,,,5,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,1.0,2.0,,,5,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,5,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,29.0,27.0,26.0,22.0,5,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,29.0,27.0,26.0,22.0,5,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,5,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,0.0,0.0,,,5,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,5,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,5,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,51.0,47.0,,,5,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,47.0,44.0,5,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,51.0,47.0,47.0,44.0,5,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,5,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,1.0,1.0,1.0,,5,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,1.0,1.0,1.0,,5,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,5,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,1.0,1.0,,,5,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,5,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,1.0,1.0,,,5,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,5,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,1.0,,,5,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,5,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,1.0,0.0,,5,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,5,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,2.0,2.0,,,5,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,2.0,2.0,,,5,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,5,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,2.0,0.0,5,ELECCIONES PASO 13/08/2017,638
60,,TOTAL PARTIDO RENOVADOR FEDERAL,,,2.0,0.0,5,ELECCIONES PASO 13/08/2017,638
61,508,CAMBIEMOS BUENOS AIRES,,,,,5,ELECCIONES PASO 13/08/2017,638
62,,LISTA CAMBIANDO JUNTOS,155.0,156.0,,,5,ELECCIONES PASO 13/08/2017,638
63,,LISTA 1A AMARILLO,,,155.0,159.0,5,ELECCIONES PASO 13/08/2017,638
64,,TOTAL CAMBIEMOS BUENOS AIRES,155.0,156.0,155.0,159.0,5,ELECCIONES PASO 13/08/2017,638
65,509,FRENTE JUSTICIALISTA,,,,,5,ELECCIONES PASO 13/08/2017,638
66,,LISTA CUMPLIR,9.0,9.0,,,5,ELECCIONES PASO 13/08/2017,638
67,,LISTA CUMPLIR 2,,,9.0,5.0,5,ELECCIONES PASO 13/08/2017,638
68,,LISTA CUMPLIR 4,,,,6.0,5,ELECCIONES PASO 13/08/2017,638
69,,TOTAL FRENTE JUSTICIALISTA,9.0,9.0,9.0,11.0,5,ELECCIONES PASO 13/08/2017,638
70,510,FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,,,,,5,ELECCIONES PASO 13/08/2017,638
71,,LISTA 1,11.0,11.0,11.0,8.0,5,ELECCIONES PASO 13/08/2017,638
72,,TOTAL FTE.DE IZQUIERDA Y DE LOS TRABAJADORES,11.0,11.0,11.0,8.0,5,ELECCIONES PASO 13/08/2017,638
73,1902,FRENTE UNION FEDERAL,,,,,5,ELECCIONES PASO 13/08/2017,638
74,,L.AUTOCTONO,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
75,,L.DIGNIDAD POPULAR,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
76,,L.FRENTE UNION FEDERAL,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
77,,L.PRIMERA DAMA DEL PUEBLO,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
78,,L.LABORISTA,,,1.0,,5,ELECCIONES PASO 13/08/2017,638
79,,L.POPULAR,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
80,,L.RENOVACION FEDERAL,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
81,,L.TRES BANDERAS,,,0.0,,5,ELECCIONES PASO 13/08/2017,638
82,,TOTAL FRENTE UNION FEDERAL,,,1.0,,5,ELECCIONES PASO 13/08/2017,638
83,738,MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,,5,ELECCIONES PASO 13/08/2017,638
84,,LISTA VECINOS POR MERCEDES,,,,4.0,5,ELECCIONES PASO 13/08/2017,638
85,,TOTAL MIC-MERCEDES INDEPENDIENTE COMUNAL,,,,4.0,5,ELECCIONES PASO 13/08/2017,638
86,829,"AGRUP. 25 DE MAYO ""MERCEDES""",,,,,5,ELECCIONES PASO 13/08/2017,638
87,,LISTA 25 DE MAYO,,,,14.0,5,ELECCIONES PASO 13/08/2017,638
88,,"TOTAL AGRUP. 25 DE MAYO ""MERCEDES""",,,,14.0,5,ELECCIONES PASO 13/08/2017,638
89,,VOTOS NULOS,4.0,4.0,2.0,2.0,5,ELECCIONES PASO 13/08/2017,638
90,,VOTOS RECURRIDOS,0.0,0.0,0.0,0.0,5,ELECCIONES PASO 13/08/2017,638
91,,VOTOS IMPUGNADOS,0.0,0.0,0.0,0.0,5,ELECCIONES PASO 13/08/2017,638
92,,VOTOS EN BLANCO,18.0,21.0,28.0,19.0,5,ELECCIONES PASO 13/08/2017,638
93,,TOTALES,283.0,283.0,283.0,283.0,5,ELECCIONES PASO 13/08/2017,638
0,8,PARTIDO FEDERAL,,,,,6,ELECCIONES PASO 13/08/2017,638
1,0121,LISTA -A- ROJO PUNZO,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
2,,LISTA -B- CELESTE Y BLANCA,0.0,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
3,,LISTA -C- FEDERALISMO PURO,1.0,1.0,,,6,ELECCIONES PASO 13/08/2017,638
4,,LISTA -D- ALTERNATIVA,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
5,,TOTAL PARTIDO FEDERAL,1.0,1.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
6,22,PARTIDO HUMANISTA,,,,,6,ELECCIONES PASO 13/08/2017,638
7,,LISTA A NARANJA,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
8,,TOTAL PARTIDO HUMANISTA,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
9,259,PARTIDO DEL CAMPO POPULAR,,,,,6,ELECCIONES PASO 13/08/2017,638
10,,LISTA A-INDEPENDENCIA,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
11,,LISTA B-LIBERTAD,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
12,,LISTA C-SEGURIDAD,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
13,,TOTAL PARTIDO DEL CAMPO POPULAR,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
14,268,MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,,,,,6,ELECCIONES PASO 13/08/2017,638
15,,LISTA UNIDAD 1,0.0,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
16,,TOTAL MOV. AMPLIO DE TRABAJADORES Y JUBILADOS,0.0,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
17,298,TODOS POR BUENOS AIRES,,,,,6,ELECCIONES PASO 13/08/2017,638
18,,LISTA TOBA,2.0,2.0,2.0,,6,ELECCIONES PASO 13/08/2017,638
19,,TOTAL TODOS POR BUENOS AIRES,2.0,2.0,2.0,,6,ELECCIONES PASO 13/08/2017,638
20,301,PATRIA GRANDE,,,,,6,ELECCIONES PASO 13/08/2017,638
21,,LISTA VAMOS,,0.0,,,6,ELECCIONES PASO 13/08/2017,638
22,,LISTA FUERZA DE LA GENTE,,,0.0,,6,ELECCIONES PASO 13/08/2017,638
23,,TOTAL PATRIA GRANDE,,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
24,309,MOVIMIENTO ORGANIZACION DEMOCRATICA,,,,,6,ELECCIONES PASO 13/08/2017,638
25,,LISTA COMPROMISO CIUDADANO,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
26,,TOTAL MOVIMIENTO ORGANIZACION DEMOCRATICA,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
27,501,1PAIS,,,,,6,ELECCIONES PASO 13/08/2017,638
28,,LISTA UN PAIS UNIDO HOY Y SIEMPRE,37.0,37.0,38.0,34.0,6,ELECCIONES PASO 13/08/2017,638
29,,TOTAL 1PAIS,37.0,37.0,38.0,34.0,6,ELECCIONES PASO 13/08/2017,638
30,502,FRENTE SOCIALISTA Y POPULAR,,,,,6,ELECCIONES PASO 13/08/2017,638
31,,LISTA A,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
32,,TOTAL FRENTE SOCIALISTA Y POPULAR,0.0,0.0,,,6,ELECCIONES PASO 13/08/2017,638
33,502/86,PARTIDO SOCIALISTA,,,,,6,ELECCIONES PASO 13/08/2017,638
34,,LISTA FRENTE SOCIALISTA Y POPULAR,,,0.0,,6,ELECCIONES PASO 13/08/2017,638
35,,TOTAL PARTIDO SOCIALISTA,,,0.0,,6,ELECCIONES PASO 13/08/2017,638
36,503,UNIDAD CIUDADANA,,,,,6,ELECCIONES PASO 13/08/2017,638
37,,LISTA CELESTE Y BLANCA U,54.0,56.0,,,6,ELECCIONES PASO 13/08/2017,638
38,,LISTA CELESTE Y BLANCA U2,,,56.0,54.0,6,ELECCIONES PASO 13/08/2017,638
39,,TOTAL UNIDAD CIUDADANA,54.0,56.0,56.0,54.0,6,ELECCIONES PASO 13/08/2017,638
40,504,IZQUIERDA AL FRENTE POR EL SOCIALISMO,,,,,6,ELECCIONES PASO 13/08/2017,638
41,,LISTA UNIDAD DE LA IZQUIERDA,0.0,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
42,,TOTAL IZQUIERDA AL FRENTE POR EL SOCIALISMO,0.0,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
43,505,FRENTE PATRIOTA BANDERA VECINAL,,,,,6,ELECCIONES PASO 13/08/2017,638
44,,LISTA A-CONDUCCION,0.0,1.0,,,6,ELECCIONES PASO 13/08/2017,638
45,,LISTA B-ESPERANZA,1.0,,,,6,ELECCIONES PASO 13/08/2017,638
46,,LISTA C-ORDEN Y SEGURIDAD,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
47,,LISTA D-SOLIDARIDAD,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
48,,LISTA E-PIONEROS,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
49,,LISTA F-SOBERANIA,0.0,,,,6,ELECCIONES PASO 13/08/2017,638
50,,TOTAL FRENTE PATRIOTA BANDERA VECINAL,1.0,1.0,,,6,ELECCIONES PASO 13/08/2017,638
51,506,ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,,,,6,ELECCIONES PASO 13/08/2017,638
52,,"L.MEMORIA, VERDAD Y JUSTICIA",,0.0,,,6,ELECCIONES PASO 13/08/2017,638
53,,"L.POR TIERRA, TECHO Y TRABAJO",,,0.0,,6,ELECCIONES PASO 13/08/2017,638
54,,TOTAL ENC.POPULAR POR TIERRA TECHO Y TRABAJO,,0.0,0.0,,6,ELECCIONES PASO 13/08/2017,638
55,507,CREO,,,,,6,ELECCIONES PASO 13/08/2017,638
56,,LISTA CONVICCIONES,1.0,1.0,,,6,ELECCIONES PASO 13/08/2017,638
57,,TOTAL CREO,1.0,1.0,,,6,ELECCIONES PASO 13/08/2017,638
58,507/79,PARTIDO RENOVADOR FEDERAL,,,,,6,ELECCIONES PASO 13/08/2017,638
59,,LISTA CONVICCIONES,,,1.0,1.0,6,ELECCIONES PASO 13/08/2017,638
